Symbl,UP,LP,NTD,ClosingPrice,Change,Next Day High,Next Day Low,Per Change High,Per Change Low,Flag
JAGRAN,7.460015429971902,-1.1310452548507148,Wednesday,57.85,8.591060684822617,68.3,62.5,9.105431309904146,-0.15974440894568917,1
CAPACITE,3.809465704442278,-0.31449514817666235,Tuesday,112.6,4.12396085261894,124.8,116.0,8.47457627118644,0.8257279443720147,1
INOXWIND,4.242618063680913,2.3202631989187843,Friday,104.1,1.922354864762129,110.6,102.6,7.1186440677966045,-0.6295399515738553,1
FOCUS,4.541008556185775,2.9617045776662447,Friday,116.2,1.5793039785195306,126.0,107.35,5.660377358490567,-9.979035639413002,1
AARON,5.476532745395333,0.9844750280512787,Tuesday,129.75,4.492057717344054,143.0,135.25,5.612998522895121,-0.11078286558346062,1
ARTNIRMAN,4.117778561563075,-0.3318953901018759,Wednesday,70.5,4.44967395166495,77.7,74.2,5.0000000000000036,0.2702702702702741,1
KOTHARIPRO,4.725385929743964,1.1294917576340104,Friday,133.8,3.5958941721099533,147.45,133.45,4.983980064079744,-4.983980064079744,1
TTL,4.189303644240626,2.479899624564136,Friday,77.7,1.70940401967649,85.9,80.55,3.8694074969770287,-2.5997581620314456,1
GOODLUCK,5.702668368435829,1.0528001656956998,Tuesday,351.5,4.649868202740128,357.9,344.05,3.409419242993341,-0.5923143600115606,1
IBULHSGFIN,2.7111245632850483,0.9907509809779966,Wednesday,123.7,1.7203735823070516,129.1,121.2,3.4040849018822588,-2.9235082098518155,1
MONTECARLO,2.7717632525744635,1.2349518925010865,Wednesday,727.0,1.536811360073377,762.0,737.5,3.2520325203252036,-0.06775067750677506,1
KKCL,4.995437359408554,0.2639291523907345,Wednesday,352.65,4.73150820701782,373.0,359.65,3.2097399003873885,-0.48422800221361373,1
VLSFINANCE,4.439035384268657,0.1894300183358314,Wednesday,145.7,4.249605365932826,163.0,152.5,3.0667088207398003,-3.57255769838761,1
SILVERTUC,2.4711479776134815,0.6811612760046414,Tuesday,326.6,1.7899867016088402,341.95,320.05,2.9814786929679196,-3.61391356723385,1
PEL,2.92669374366813,1.0827715719251085,Tuesday,1726.1,1.8439221717430214,1838.0,1786.05,2.7045149754135056,-0.19836835046937612,1
SCHAND,5.090435343913219,0.0919362686080176,Tuesday,140.15,4.998499075305202,146.35,135.1,2.4142757172848066,-5.4583624912526325,1
JPOLYINVST,4.148948243185536,2.1303957452045372,Monday,297.0,2.0185524979809983,305.1,286.05,2.3997314985735976,-3.9939587179056817,1
HERITGFOOD,4.480733783163822,-0.1923056235677783,Thursday,292.2,4.6730394067316,307.0,297.4,2.35039173195533,-0.8501416902817175,1
CIGNITITEC,2.1827777603410894,0.43157510374160685,Tuesday,536.2,1.7512026565994825,557.7,547.3,2.2927366104181948,0.3851797505502401,1
KIRLFER,4.656208367471622,-0.22584857669200817,Wednesday,209.85,4.88205694416363,225.85,209.45,2.2408329560887226,-5.183340878225449,1
DONEAR,3.915187442914422,1.4542391257476919,Monday,53.05,2.4609483171667303,52.5,50.95,2.1400778210116758,-0.8754863813229489,1
REPRO,5.445418169027675,2.9363540219251414,Tuesday,411.95,2.5090641471025332,469.9,439.0,2.0191055145462338,-4.689535388623539,1
DECCANCE,3.225825993406434,1.0205277622683235,Wednesday,513.55,2.2052982311381104,519.95,505.0,1.7913077525450338,-1.135473766640566,1
SINTERCOM,3.031886257098935,1.196727139382228,Tuesday,85.1,1.835159117716707,88.15,85.0,1.7898383371824613,-1.8475750577367143,1
ORIENTELEC,2.278214065332077,0.6125595307238529,Tuesday,259.9,1.6656545346082239,265.35,257.0,1.6666666666666754,-1.532567049808429,1
GOKULAGRO,3.2920875730258614,1.2477692500600521,Wednesday,82.0,2.0443183229658093,83.9,81.0,1.6353725015142442,-1.8776499091459689,1
ALMONDZ,4.115043233161117,2.242704371924936,Wednesday,79.05,1.872338861236181,79.75,74.15,1.5276893698281386,-5.601527689369817,1
SAKSOFT,7.597326499189499,2.590022762250678,Thursday,1041.95,5.007303736938821,1072.0,1012.0,1.5199583313603822,-4.162128888678445,1
EXPLEOSOL,3.353719690335434,0.1979023253553004,Tuesday,1436.3,3.1558173649801335,1472.2,1426.0,1.4191237255442366,-1.763571231744276,1
REDINGTON,4.72453934912461,-0.31862808622643324,Wednesday,144.8,5.043167435351044,146.9,140.6,1.4152571625819894,-2.9340697273041076,1
SOBHA,2.214760836282061,0.6824676547852053,Wednesday,676.95,1.5322931814968557,688.25,670.5,1.3772278686109918,-1.2372956252761789,-1
UFLEX,2.4904607194867703,0.35849588158503987,Tuesday,627.6,2.13196483790173,639.45,623.2,1.2990099009901062,-1.275247524752468,-1
BUTTERFLY,2.495411096766729,0.5147267055749064,Tuesday,1471.6,1.9806843911918226,1515.0,1459.95,1.2835940633774598,-2.3967107902125893,-1
SHIVAMILLS,2.6829486428137534,0.9919715118447641,Tuesday,100.1,1.6909771309689894,100.75,89.95,1.256281407035176,-9.59798994974874,0
CORDSCABLE,3.6147023511795564,0.5607048475145113,Wednesday,56.4,3.053997503665045,57.65,55.1,1.2291483757682102,-3.248463564530292,0
UNIVCABLES,3.73493634337073,1.7986258152758041,Wednesday,182.55,1.9363105280949258,184.8,179.05,1.0664479081214202,-2.0782061799288942,-1
CHAMBLFERT,2.6272767754001247,0.8052868138245011,Tuesday,321.7,1.8219899615756237,333.5,324.55,1.0606060606060608,-1.6515151515151478,-1
GANECOS,2.737468407627918,1.0276930652143945,Tuesday,632.25,1.7097753424135234,631.25,613.6,1.0,-1.8239999999999965,-1
SUMMITSEC,4.218918269361137,1.10182585963684,Thursday,603.0,3.1170924097242976,618.9,592.95,0.9954308093994816,-3.23922976501304,0
ADSL,2.8086314252950046,1.2465626001584313,Thursday,121.9,1.5620688251365733,122.75,117.0,0.7799671592775065,-3.940886699507387,0
LAOPALA,2.696663084875961,1.1454077234857432,Wednesday,309.6,1.5512553613902178,316.5,306.85,0.6839510100206703,-2.3858756163512007,-1
MGL,2.861764931441563,1.268977628664714,Tuesday,785.2,1.5927873027768489,822.75,797.35,0.6175859117035531,-2.4886877828054326,-1
IDFC,2.4520362588501476,0.7650916416753841,Wednesday,60.45,1.6869446171747635,61.55,59.95,0.571895424836592,-2.042483660130719,-1
SIRCA,2.957411668493842,0.45109026211566805,Thursday,544.05,2.506321406378174,555.0,536.95,0.32537960954446027,-2.937454808387563,-1
HESTERBIO,2.144380357588352,-0.15876095269712054,Monday,2403.35,2.303141310285473,2405.0,2225.0,0.03743604675346662,-7.4497733039391,0
SPECIALITY,7.4214840383625535,3.271601099208209,Tuesday,185.4,4.149882939154344,205.6,193.45,0.024324981756255387,-5.886645585015822,0
EMAMIREAL,3.8569323826361774,1.7128080342738863,Wednesday,75.7,2.144124348362291,72.95,68.5,-0.47748976807639065,-6.5484311050477455,0
